"(20, 14)",0.0125
"(20, 15)",0.0124
"(20, 16)",0.0124
"(20, 17)",0.0125
"(20, 18)",0.0126
"(20, 19)",0.0125
"(20, 20)",0.0123
"(20, 21)",0.0121
"(20, 22)",0.012
"(20, 23)",0.0119
"(20, 24)",0.0117
"(20, 25)",0.0115
"(20, 26)",0.0111
"(20, 27)",0.0107
"(20, 28)",0.0104
"(20, 29)",0.0101
"(20, 30)",0.0097
"(20, 31)",0.0096
"(21, 0)",0.01
"(21, 1)",0.0102
"(21, 2)",0.0106
"(21, 3)",0.0109
"(21, 4)",0.0113
"(21, 5)",0.0116
"(21, 6)",0.0119
"(21, 7)",0.0122
"(21, 8)",0.0124
"(21, 9)",0.0125
"(21, 10)",0.0126
"(21, 11)",0.0128
"(21, 12)",0.013
"(21, 13)",0.0131
"(21, 14)",0.013
"(21, 15)",0.013
"(21, 16)",0.013
"(21, 17)",0.013
"(21, 18)",0.0131
"(21, 19)",0.013
"(21, 20)",0.0128
"(21, 21)",0.0126
"(21, 22)",0.0125
"(21, 23)",0.0124
"(21, 24)",0.0122
"(21, 25)",0.0119
"(21, 26)",0.0116
"(21, 27)",0.0113
"(21, 28)",0.0109
"(21, 29)",0.0106
"(21, 30)",0.0102
"(21, 31)",0.01
"(22, 0)",0.0104
"(22, 1)",0.0106
"(22, 2)",0.0111
"(22, 3)",0.0114
"(22, 4)",0.0117
"(22, 5)",0.012
"(22, 6)",0.0123
"(22, 7)",0.0125
"(22, 8)",0.0128
"(22, 9)",0.0131
"(22, 10)",0.0132
"(22, 11)",0.0134
"(22, 12)",0.0136
"(22, 13)",0.0137
"(22, 14)",0.0136
"(22, 15)",0.0136
"(22, 16)",0.0136
"(22, 17)",0.0136
"(22, 18)",0.0137
"(22, 19)",0.0136
"(22, 20)",0.0134
"(22, 21)",0.0132
"(22, 22)",0.0131
"(22, 23)",0.0128
"(22, 24)",0.0125
"(22, 25)",0.0123
"(22, 26)",0.012
"(22, 27)",0.0117
"(22, 28)",0.0114
"(22, 29)",0.0111
"(22, 30)",0.0106
"(22, 31)",0.0104
"(23, 0)",0.011
"(23, 1)",0.0112
"(23, 2)",0.0115
"(23, 3)",0.0118
"(23, 4)",0.0121
"(23, 5)",0.0124
"(23, 6)",0.0125
"(23, 7)",0.0128
"(23, 8)",0.0132
"(23, 9)",0.0136
"(23, 10)",0.0138
"(23, 11)",0.014
"(23, 12)",0.0141
"(23, 13)",0.014
"(23, 14)",0.0138
"(23, 15)",0.0137
"(23, 16)",0.0137
"(23, 17)",0.0138
"(23, 18)",0.014
"(23, 19)",0.0141
"(23, 20)",0.014
"(23, 21)",0.0138
"(23, 22)",0.0136
"(23, 23)",0.0132
"(23, 24)",0.0128
"(23, 25)",0.0125
"(23, 26)",0.0124
"(23, 27)",0.0121
"(23, 28)",0.0118
"(23, 29)",0.0115
"(23, 30)",0.0112
"(23, 31)",0.011
"(24, 0)",0.0117
"(24, 1)",0.0118
"(24, 2)",0.0119
"(24, 3)",0.0122
"(24, 4)",0.0125
"(24, 5)",0.0127
"(24, 6)",0.0127
"(24, 7)",0.0131
"(24, 8)",0.0136
"(24, 9)",0.0141
"(24, 10)",0.0145
"(24, 11)",0.0146
"(24, 12)",0.0145
"(24, 13)",0.0142
"(24, 14)",0.0136
"(24, 15)",0.0133
"(24, 16)",0.0133
"(24, 17)",0.0136
"(24, 18)",0.0142
"(24, 19)",0.0145
"(24, 20)",0.0146
"(24, 21)",0.0145
"(24, 22)",0.0141
"(24, 23)",0.0136
"(24, 24)",0.0131
"(24, 25)",0.0127
"(24, 26)",0.0127
"(24, 27)",0.0125
"(24, 28)",0.0122
"(24, 29)",0.0119
"(24, 30)",0.0118
"(24, 31)",0.0117
"(25, 0)",0.0123
"(25, 1)",0.0123
"(25, 2)",0.0124
"(25, 3)",0.0126
"(25, 4)",0.0129
"(25, 5)",0.0131
"(25, 6)",0.0132
"(25, 7)",0.0136
"(25, 8)",0.0142
"(25, 9)",0.0146
"(25, 10)",0.015
"(25, 11)",0.0152
"(25, 12)",0.015
"(25, 13)",0.0147
"(25, 14)",0.0142
"(25, 15)",0.0139
"(25, 16)",0.0139
"(25, 17)",0.0142
"(25, 18)",0.0147
"(25, 19)",0.015
"(25, 20)",0.0152
"(25, 21)",0.015
"(25, 22)",0.0146
"(25, 23)",0.0142
"(25, 24)",0.0136
"(25, 25)",0.0132
"(25, 26)",0.0131
"(25, 27)",0.0129
"(25, 28)",0.0126
"(25, 29)",0.0124
"(25, 30)",0.0123
"(25, 31)",0.0123
"(26, 0)",0.0127
"(26, 1)",0.0128
"(26, 2)",0.013
"(26, 3)",0.0133
"(26, 4)",0.0136
